,single_amount,rate_adjust,diff,rate_adjust_pc
32,3200.0,-0.008099999999999998,-0.0002613820679492188,-8.099999999999998
33,3300.0,-0.008,-0.0004068931356406249,-8.0
34,3400.0,-0.0079,-0.0005513627342241209,-7.9
35,3500.0,-0.007800000000000002,-0.0006994820955156252,-7.8000000000000025
36,3600.0,-0.007699999999999999,-0.0008829291621035158,-7.699999999999998
37,3700.0,-0.0076,-0.0011796388054633787,-7.6
38,3800.0,-0.007500000000000001,-0.0014513100371113283,-7.500000000000001
39,3900.0,-0.007400000000000001,-0.0017195639331035154,-7.4
40,4000.0,-0.007300000000000002,-0.0019958726825263667,-7.300000000000002
41,4100.0,-0.007200000000000002,-0.0022695594391953125,-7.200000000000002
42,4200.0,-0.006999999999999999,-0.0002091520998691404,-6.999999999999999
43,4300.0,-0.0069,-0.0004997829304809571,-6.8999999999999995
44,4400.0,-0.0068000000000000005,-0.0007804518795756835,-6.8
45,4500.0,-0.006700000000000001,-0.0011284407274541016,-6.700000000000001
46,4600.0,-0.006600000000000002,-0.0015003000865810546,-6.600000000000001
47,4700.0,-0.006500000000000001,-0.0017828218022812497,-6.5
48,4800.0,-0.0063999999999999994,-0.00213712652734668,-6.399999999999999
49,4900.0,-0.0062,-0.0001687012438676759,-6.199999999999999
50,5000.0,-0.0061,-0.000494232375921875,-6.1
51,5100.0,-0.006000000000000001,-0.0008780416320688475,-6.000000000000001
52,5200.0,-0.0059,-0.001246575426914551,-5.8999999999999995
53,5300.0,-0.0058000000000000005,-0.0016837100340927737,-5.800000000000001
54,5400.0,-0.0057,-0.002059682355472168,-5.7
55,5500.0,-0.005500000000000002,-0.00011460519988427733,-5.500000000000003
56,5600.0,-0.005400000000000003,-0.0005478275015532228,-5.400000000000002
57,5700.0,-0.005300000000000003,-0.0009802881378007812,-5.3000000000000025
58,5800.0,-0.005200000000000002,-0.0013882575447397463,-5.200000000000002
59,5900.0,-0.005100000000000003,-0.0018257661039301754,-5.100000000000003
60,6000.0,-0.005000000000000003,-0.002276647618940918,-5.000000000000002
61,6100.0,-0.004800000000000002,-0.00038360870049365225,-4.800000000000002
62,6200.0,-0.004700000000000001,-0.0008402361247446288,-4.7
63,6300.0,-0.004600000000000002,-0.0013172951440468751,-4.600000000000001
64,6400.0,-0.0045000000000000005,-0.0018096837042539061,-4.5
65,6500.0,-0.0044,-0.0022442731538564456,-4.3999999999999995
66,6600.0,-0.0042,-0.0003815645192880861,-4.199999999999999
67,6700.0,-0.0040999999999999995,-0.0008074446319428712,-4.099999999999999
68,6800.0,-0.003999999999999998,-0.0013071384238315432,-3.9999999999999982
69,6900.0,-0.0038999999999999985,-0.0017976536383251954,-3.899999999999998
70,7000.0,-0.003699999999999999,-2.0009942499998976e-06,-3.699999999999999
71,7100.0,-0.0035999999999999986,-0.0005034766313422852,-3.5999999999999988
72,7200.0,-0.0034999999999999983,-0.0009994246971708983,-3.499999999999998
73,7300.0,-0.003399999999999999,-0.0014709464833554686,-3.399999999999999
74,7400.0,-0.0032999999999999987,-0.0020508598625200197,-3.2999999999999985
75,7500.0,-0.0030999999999999986,-0.00023769354043359363,-3.0999999999999983
76,7600.0,-0.002999999999999999,-0.00071738202842334,-2.999999999999999
77,7700.0,-0.002899999999999999,-0.0012838064837778318,-2.8999999999999986
78,7800.0,-0.0027999999999999987,-0.0018189231919257813,-2.7999999999999985
79,7900.0,-0.0025999999999999986,-2.7315907916015757e-05,-2.5999999999999983
80,8000.0,-0.002499999999999999,-0.0005178013147065429,-2.499999999999999
81,8100.0,-0.0024,-0.0011162390651660156,-2.4
82,8200.0,-0.002299999999999999,-0.0017097696456049804,-2.299999999999999
83,8300.0,-0.0021999999999999997,-0.0022404554732885743,-2.1999999999999997
84,8400.0,-0.001999999999999999,-0.0004424589612758789,-1.9999999999999991
85,8500.0,-0.0018999999999999996,-0.0009606564505634766,-1.8999999999999995
86,8600.0,-0.0018000000000000004,-0.0014676057041889646,-1.8000000000000005
87,8700.0,-0.0016999999999999993,-0.00203556226289209,-1.6999999999999993
88,8800.0,-0.0014999999999999998,-0.00025501833964208993,-1.4999999999999998
89,8900.0,-0.0014000000000000004,-0.0008018979532910157,-1.4000000000000004
90,9000.0,-0.0012999999999999993,-0.0013500180630219725,-1.2999999999999992
91,9100.0,-0.0012,-0.0019349951747319335,-1.2
92,9200.0,-0.0010000000000000005,-0.00018452713818017577,-1.0000000000000004
93,9300.0,-0.0008999999999999993,-0.0007293517252084961,-0.8999999999999992
94,9400.0,-0.0007999999999999999,-0.001325395163804199,-0.7999999999999998
95,9500.0,-0.0007000000000000005,-0.001838749129435547,-0.7000000000000004
96,9600.0,-0.0004999999999999994,-7.741483156005862e-05,-0.49999999999999933
97,9700.0,-0.0003999999999999999,-0.0006046000310283202,-0.3999999999999999
98,9800.0,-0.0003000000000000005,-0.0011463982792734374,-0.3000000000000005
99,9900.0,-0.00019999999999999939,-0.0017212566426240232,-0.19999999999999937
100,10000.0,-1.8973538018496328e-19,0.0,-1.8973538018496328e-16
